,ID,SUMMARY,CLASSIFIED
182,HTTPCLIENT-1382, BasicHttpClientConnectionManager  doesn't handle http protocol ,BUG
183,HTTPCLIENT-1383, NTLM authentication can enter in infinite loop ,BUG
185,HTTPCLIENT-1385, CacheKeyGenerator Does Not Normalize Path Correctly ,BUG
186,HTTPCLIENT-1386, Need to add attribute to manifest file of HttpClient  ,BUG
187,HTTPCLIENT-1387, Replace URICollection with List<URI> ,BUG
188,HTTPCLIENT-1388, HttpClient/Core lacks OSGI compatible fields in manifest ,BUG
189,HTTPCLIENT-1389, HttpClient OSGi bundle (4.2.5)'s included JavaMail API bundle will not resolve (should not depend hard on sun.* classes) ,BUG
192,HTTPCLIENT-1392, CLONE - redirect error!  java.net.URISyntaxException: Illegal character  ,BUG
193,HTTPCLIENT-1393, HTTP Request Headers dont persist for multiple redirects ,BUG
195,HTTPCLIENT-1395, Call the storage implementation only once on a cache miss ,BUG
198,HTTPCLIENT-1398, Unable to access HttpClients or HttpClientBuilder in OSGi ,BUG
199,HTTPCLIENT-1399, NPE in org.apache.http.client.methods.RequestBuilder line 237 ,BUG
203,HTTPCLIENT-1403, HttpClient cannot handle contatenated gzip streams ,BUG
205,HTTPCLIENT-1405, HttpClient 4.3 - ProxyClient CONNECT message missing Host header ,BUG
206,HTTPCLIENT-1406, https on port 80 over proxy caused the http client to go into an infinite loop ,BUG
211,HTTPCLIENT-1411, Http Client may throw an IllegalArgumentException with certain cookies ,BUG
213,HTTPCLIENT-1413, Divide by Zero error in FutureRequestExecutionMetrics ,BUG
217,HTTPCLIENT-1417, Null pointer exception during cookie parsing ,BUG
218,HTTPCLIENT-1418, Class cast exception when ClientPNames.CONN_MANAGER_TIMEOUT is set ,BUG
224,HTTPCLIENT-1424, Axis2 Service Stub throws java.lang.IllegalStateException ,BUG
225,HTTPCLIENT-1425, Socket Closed Exception When Reading Connection: close Response Entities ,BUG
285,HTTPCLIENT-1426, MultipartEntityBuilder creates malformed HttpEntity ,BUG
286,HTTPCLIENT-1427, Tutorial about Preemptive authentication misses setting AuthCache ,BUG
287,HTTPCLIENT-1428, Minor error in javadoc for CacheConfig.Builder.setHeuristicCachingEnabled ,BUG
288,HTTPCLIENT-1429, Very large cookies should be logged in a truncated form ,BUG
289,HTTPCLIENT-1430, Please reduce object creation in HeaderGroup.getFirstHeader() ,BUG
290,HTTPCLIENT-1431,The HTTPClient 4.3 doesn't accept the SocketFactory based on the LayeredSchemeSocketFactory when using HTTP proxy,BUG
291,HTTPCLIENT-1432, Lazy decompressing of HttpEntity.getContent() ,BUG
292,HTTPCLIENT-1433, DefaultClientConnectionOperator instance check inconsistent with explicit cast ,BUG
293,HTTPCLIENT-1434, TrustSelfSignedStrategy should be a singleton ,BUG
294,HTTPCLIENT-1435, Proxy authentication of Fluent API does not work ,BUG
295,HTTPCLIENT-1436,Unable to retrieve binary encoded response from a website using httpclient 4.3,BUG
296,HTTPCLIENT-1437, Fluent Executor.execute is not thread safe ,BUG
297,HTTPCLIENT-1438, org.apache.http.NoHttpResponseException: The target server failed to respond ,BUG
298,HTTPCLIENT-1439, Infinite timeout on entity send ,BUG
299,HTTPCLIENT-1440, NPE When Location Is file: URI ,BUG
300,HTTPCLIENT-1441, AsynchronousValidationRequest and a connection pool leak ,BUG
301,HTTPCLIENT-1442, Request loses authorization header when redirected by proxy ,BUG
302,HTTPCLIENT-1443, HttpCache uses the physical host instead of the virtual host in the cache key ,BUG
303,HTTPCLIENT-1444," OSGI Manifest does not export ""org.apache.http"" package ",BUG
304,HTTPCLIENT-1445, Unable to access WebService through WebSphere Application Server with new HttpClient ,BUG
305,HTTPCLIENT-1446,Proxy authentication Error - NTLM authentication error: Unexpected state: MSG_TYPE3_GENERATED in Http Client 4.3.1,BUG
306,HTTPCLIENT-1447, Clients created with HttpClients.createMinimal do not work with absolute URIs ,BUG
307,HTTPCLIENT-1448, Add context information to DefaultRequestDirector INFO level logging ,BUG
308,HTTPCLIENT-1449,X509HostnameVerifier API is too restrictive,BUG
309,HTTPCLIENT-1450," ""tests.jar"" isn't deployed to Maven central repository ",BUG
310,HTTPCLIENT-1451,HttpClient does not store response cookies on a 401,BUG
311,HTTPCLIENT-1452, in case of a redirect a wrong host param is set to http header ,BUG
312,HTTPCLIENT-1453, PoolingHttpClientConnectionManager thread safety ,BUG
313,HTTPCLIENT-1454, Allow use of multiple SSLContexts with single instance of HttpClient ,BUG
314,HTTPCLIENT-1455, Documentation caching erroneus? ,BUG
315,HTTPCLIENT-1456,ClientProtocolException occurs when retries after receiving 503,BUG
316,HTTPCLIENT-1457, HttpClientBuilder.useSystemProperties() is incompatible with NTLM scheme ,BUG
317,HTTPCLIENT-1458, SystemDefaultCredentialsProvider authenticates with wrong protocol for https requests ,BUG
318,HTTPCLIENT-1459,InetAddressUtils.isIPv6Address is not identifying my IPv6 Address,BUG
319,HTTPCLIENT-1460, Cached files would be deleted after CloseableHttpClient being closed. ,BUG
320,HTTPCLIENT-1461, GZIP decoding is very slow ,BUG
321,HTTPCLIENT-1465, IOException when reading gziped content from sites with slightly incorrect gzip stream (missing gz footer) ,BUG
322,HTTPCLIENT-1466, FileBodyPart.generateContentType() method ignores ContentType parameters ,BUG
323,HTTPCLIENT-1467, Why is MultipartEntityBuilder::addPart(FormBodyPart) private? ,BUG
324,HTTPCLIENT-1468, Remove unneccessary throws UnsupportedEncodingException ,BUG
325,HTTPCLIENT-1471, ResponseCachingPolicy - eliminate boxing and HashSet ,BUG
326,HTTPCLIENT-1472, DateParseException only used by deprecated classes ,BUG
327,HTTPCLIENT-1473,Http get via invalid proxy get 200/OK instead of 500,BUG
328,HTTPCLIENT-1474, HTTP POST with Fluent HC is broken ,BUG
329,HTTPCLIENT-1475, Add a requests count readable stat for each HttpGet to be processed ,BUG
330,HTTPCLIENT-1476, Thread lock within httpClient call ,BUG
331,HTTPCLIENT-1477, javax.net.ssl.keyStore is ignored by HttpClientBuilder.useSystemProperties() ,BUG
332,HTTPCLIENT-1478, https calls ignore http.socket.timeout during SSL Handshake ,BUG
333,HTTPCLIENT-1479, NPE in DefaultHttpClient with Proxy and AuthCache ,BUG
334,HTTPCLIENT-1480, Provide a convenience method to parse a proxy with format localhost:port ,BUG
335,HTTPCLIENT-1481, Http Proxy with SSL target not working ,BUG
336,HTTPCLIENT-1482, ability to expect-continue only if potentially stale ,BUG
337,HTTPCLIENT-1483, GzipCompressingEntity shouldn't close outputstream in final block ,BUG
338,HTTPCLIENT-1484, GzipCompressingEntity shouldn't close outputstream in finally block ,BUG
339,HTTPCLIENT-1485, Wrong type of exception raised because of hardcoded string-compare ,BUG
340,HTTPCLIENT-1486, Quirky Behavior in URIUtils leads to Improper Request Execution ,BUG
341,HTTPCLIENT-1487, CachingHttpClient doesn't persist cache ,BUG
342,HTTPCLIENT-1483, GzipCompressingEntity shouldn't close outputstream in final block ,BUG
343,HTTPCLIENT-1484, GzipCompressingEntity shouldn't close outputstream in finally block ,BUG
344,HTTPCLIENT-1485, Wrong type of exception raised because of hardcoded string-compare ,BUG
345,HTTPCLIENT-1486, Quirky Behavior in URIUtils leads to Improper Request Execution ,BUG
346,HTTPCLIENT-1487, CachingHttpClient doesn't persist cache ,BUG
347,HTTPCLIENT-1488," Built-in NTLM engine fails to authenticate against Squids ntlm_fake_auth, JCIFS doesn't ",BUG
348,HTTPCLIENT-1489," Multiple, comma-separated challenges in WWW-Authenticate are not recognized ",BUG
349,HTTPCLIENT-1490, auth caches do not take auth realm into account ,BUG
350,HTTPCLIENT-1491, Enable provision of Service Principal Name to InitializeSecurityContext  ,BUG
351,HTTPCLIENT-1492," ""TimeToLive"" for connection pooling not settable via HttpClientBuilder ",BUG
352,HTTPCLIENT-1493, Conditional stale connection checking ,BUG
353,HTTPCLIENT-1494, StringBody constructor throws NPE if text is null ,BUG
354,HTTPCLIENT-1495," Finalizer in PoolingHttpClientConnectionManager should not log ""shutdown"" messages if already shutdown normally ",BUG
355,HTTPCLIENT-1496," HttpRequestInterceptors do not have easy access to the scheme, host or port of the request. ",BUG
356,HTTPCLIENT-1497, Allow to enable SO_LINGER option with zero timeout ,BUG
357,HTTPCLIENT-1498," ""java.lang.IllegalArgumentException: Host name may not be blank"" thrown during redirect (regression?) ",BUG
358,HTTPCLIENT-1499, Fluent-HC GET should support bodyString() ,BUG
359,HTTPCLIENT-1500, Fluent-HC GET should support bodyString() ,BUG
360,HTTPCLIENT-1501, Fluent API not accepting form parameters ,BUG
361,HTTPCLIENT-1502, Android HttpClient Maven javadoc/source uploaded incorrectly ,BUG
362,HTTPCLIENT-1504,Hanging request execution when PoolingHttpClientConnectionManager has 0 MaxTotal connections set,BUG
363,HTTPCLIENT-1505, Add a MultipartEntityReader ,BUG
364,HTTPCLIENT-1506," Including ""; charset=..."" in the content type header prevents form fields from getting transmitted? ",BUG
365,HTTPCLIENT-1507, Quick start comments do not correspond to user guide ,BUG
366,HTTPCLIENT-1508, Default user agent should reflect the Java version used and not compiled ,BUG
367,HTTPCLIENT-1509, Increase DefaultHttpResponseParser buffer size ,BUG
368,HTTPCLIENT-1510, Expect/continue not working for HttpRequest objects that are implemented with an HttpRequestWrapper ,BUG
369,HTTPCLIENT-1511, Should be possible to retrieve the entity stream from a fluent respose ,BUG
370,HTTPCLIENT-1512, Please add org.apache.http.client.fluent.Content.asString(Charset) ,BUG
371,HTTPCLIENT-1513,Trim default ports (80 and 443) in host header,BUG
372,HTTPCLIENT-1514, org.apache.http.entity.ContentType#get method is too strict regarding malformed Content-Type headers ,BUG
373,HTTPCLIENT-1515, Caching responses to HEAD requests ,BUG
374,HTTPCLIENT-1516, URL-encoded form paramters - missing '=' for null-values ,BUG
375,HTTPCLIENT-1517,"Strip Porty by default setup and strip ports by default ports 80,443, also use canonical hostname to create kerberos / gssapi context",BUG
376,HTTPCLIENT-1518,In 4.3.2/3 (running on Sun Solaris 10) during stress test connections go in close_wait,BUG
377,HTTPCLIENT-1519, redundant port when executing request ,BUG
378,HTTPCLIENT-1520, Fix License URLs in pom.xml ,BUG
379,HTTPCLIENT-1521, Improve HttpClient extensibility for proxy chaining ,BUG
380,HTTPCLIENT-1522, SNI support ,BUG
0,HTTPCLIENT-1530,DateUtils.parseDate not fully compliant with RFC 1123,BUG
1,HTTPCLIENT-1531, https connections through proxies don't work if authentication is disabled ,BUG
2,HTTPCLIENT-1532, Android Basic Authentication - the failure case ,BUG
3,HTTPCLIENT-1533, MultipartEntity encoding regression bug ,BUG
4,HTTPCLIENT-1534, HTTP Digest Authentication does not use cookies sent on challenge ,BUG
5,HTTPCLIENT-1535, InetAddress and NoRouteToHost ,BUG
6,HTTPCLIENT-1536, HttpClientConnectionOperator should use HttpHost.getAddress if available ,BUG
7,HTTPCLIENT-1537, metatype.xml definition is wrong for httpclient-osgi ,BUG
8,HTTPCLIENT-1538, Monitor contention at org.apache.http.impl.client.CloseableHttpResponseProxy.newProxy(HttpResponse original) ,BUG
9,HTTPCLIENT-1539, Non-consistent SunCertPathBuilderException ,BUG
10,HTTPCLIENT-1540, Support delegated credentials (ISC_REQ_DELEGATE) via ClientWinAuth ,BUG
11,HTTPCLIENT-1541, Use correct service principle name (HTTP/hostname) for WinHttpClients ,BUG
13,HTTPCLIENT-1543, httpmime should contain a proper bundle manifest for osgi ,BUG
14,HTTPCLIENT-1544, NPE in formatCooke method while parsing response cookies ,BUG
15,HTTPCLIENT-1545, Possible infinite loop when WindowsNegotiateScheme authentication fails ,BUG
16,HTTPCLIENT-1546, Cookie values can end up being double quoted ,BUG
17,HTTPCLIENT-1547," HttpClient OSGi bundle doesn't import the package ""javax.naming"" ",BUG
19,HTTPCLIENT-1549,CVE-2014-3577 patch may not be RFC-compliant,BUG
20,HTTPCLIENT-1550," ""deflate"" encoding issue : java.util.zip.ZipException: invalid stored block lengths ",BUG
21,HTTPCLIENT-1551,CVE-2014-3577 Is MITM possible in commons httpclient 3.x,BUG
22,HTTPCLIENT-1552, URI Encoding doesn't encode ':' in URI ,BUG
23,HTTPCLIENT-1553, SSLSocketFactory null argument exception in HttpClientBuilder.build() if system properties are not used. ,BUG
24,HTTPCLIENT-1554, defaultRequestConfig never used in InternalHttpClient ,BUG
25,HTTPCLIENT-1555, Socket timeout not applied to SSLSocketFactory & it waits indefinitely. ,BUG
26,HTTPCLIENT-1556, Default CookieSpecs provider not found for AbstractHttpClient subclass ,BUG
27,HTTPCLIENT-1557,NTLMEngine.Type1Message doesn't do anything with domain and host,BUG
28,HTTPCLIENT-1558, Problematic OSGi bundling ,BUG
29,HTTPCLIENT-1559, Converting a relative address to absolute address using HttpClient in Java ,BUG
31,HTTPCLIENT-1561, InitializeSecurityContext in WinHttpClient ignores return codes ,BUG
32,HTTPCLIENT-1562, Typo in WindowsNegotiateScheme ,BUG
33,HTTPCLIENT-1563, HttpClient OSGi bundle is missing some javax.naming package imports ,BUG
34,HTTPCLIENT-1564,ContentEncodingHttpClient 4.3.5 breaks compat with 4.2.5,BUG
35,HTTPCLIENT-1565, examples.client.ClientExecuteSOCKS doesn't specify the context while making the request. ,BUG
36,HTTPCLIENT-1566, Obvious bug in HTTP Basic Authentication! ,BUG
39,HTTPCLIENT-1569, GGSSchemeBase incorrectly spelled ,BUG
41,HTTPCLIENT-1571,Commit for HTTPCLIENT-1562 broke change from HTTPCLIENT-1560,BUG
42,HTTPCLIENT-1572, Aborting request execution doesn't throw RequestAbortedException ,BUG
44,HTTPCLIENT-1574, Missing package for OSGI - javax.naming ,BUG
45,HTTPCLIENT-1575," PoolingHttpClientConnectionManager.setMaxPerRoute accepts, but ignores, HttpRoutes with default ports ",BUG
46,HTTPCLIENT-1576, httpclient incorrectly return Cookie rejected  ,BUG
47,HTTPCLIENT-1577, Some setting may not take effect if  assigned HttpClientConnectionManager instance in HttpClientBuilder ,BUG
49,HTTPCLIENT-1579,CacheValidityPolicy does not correctly handle 304 Not Modified freshness,BUG
52,HTTPCLIENT-1582, SSPI-based auth might fail if output token size is too small ,BUG
58,HTTPCLIENT-1588, CloseableHttpClient.execute do not close CloseableHttpResponse ,BUG
60,HTTPCLIENT-1590, Charset detection problem if Content-Type header is text/html ,BUG
61,HTTPCLIENT-1591, SNI doesn't work in Android port for proxied connections ,BUG
64,HTTPCLIENT-1594, MultipartEntity doesn't work when I set Charset for it ,BUG
65,HTTPCLIENT-1595, SSLConnectionSocketFactory not respecting enabled protocols ,BUG
67,HTTPCLIENT-1597, BrowserCompatHostnameVerifier doesn't recognize CN ,BUG
74,HTTPCLIENT-1604,HttpClient fails Basic Authentication when using RFC2617Scheme,BUG
75,HTTPCLIENT-1605,Cannot upload files with HttpClient 4.3.6 using PUT/POST,BUG
76,HTTPCLIENT-1606, TestSSLSocketFactory fails on OpenJDK ,BUG
78,HTTPCLIENT-1608, Cookies are not processed while NTLM handshaking takes place ,BUG
81,HTTPCLIENT-1611, NoClassDefFoundError: org/apache/http/ssl/SSLContexts in httpclient-osgi ,BUG
82,HTTPCLIENT-1612, Missing package import statement in manifest (org.apache.http.ssl) ,BUG
84,HTTPCLIENT-1614,Domain processing incompatible with 4.3.6,BUG
88,HTTPCLIENT-1618, EntityUtils toByteArray EOFException ,BUG
89,HTTPCLIENT-1619, BasicScheme.authenticate(...) is not thread save ,BUG
91,HTTPCLIENT-1621, Possible NPE/incorrect type in HttpClientBuilder#evictIdleConnections ,BUG
93,HTTPCLIENT-1623,Several files still refer to Java 1.5,BUG
94,HTTPCLIENT-1624,NTLMresp in type3message is being generated wrong when using NEGOTIATE_NTLM2_KEY,BUG
95,HTTPCLIENT-1625, Completely overhaul GSS-API-based authentication backend ,BUG
98,HTTPCLIENT-1628, Auth cache can fail when domain name contains uppercase characters ,BUG
100,HTTPCLIENT-1630,304 response causes multiple copies of file in cache,BUG
103,HTTPCLIENT-1633,RFC6265CookieSpecProvider ignores compatibility level,BUG
104,HTTPCLIENT-1634, Httpclient RequestConfig Timeout not occuring ,BUG
106,HTTPCLIENT-1636, Regression: hostname verification fails when it shouldn't ,BUG
107,HTTPCLIENT-1637, HttpClient does not handle cookies during authentication ,BUG
110,HTTPCLIENT-1640, Failed to parse cookie max-age attribute  ,BUG
112,HTTPCLIENT-1642, Issue with github SSL certificate ,BUG
114,HTTPCLIENT-1644, NullPointerException during DefaultCookieSpec.formatCookies call ,BUG
117,HTTPCLIENT-1647," HTTP Client reporting ""Garbage in response"" whereas response seems to be valid ",BUG
119,HTTPCLIENT-1649, Caching of proxy auth schemes is broken ,BUG
123,HTTPCLIENT-1653, HttpClient does not validate maps.googleapis.com SSL certificate ,BUG
124,HTTPCLIENT-1654, Deprecate/remove RequestConfig#decompressionEnabled in favor of #contentCompressionEnabled ,BUG
127,HTTPCLIENT-1657," ""Connection is not open"" in httpClient.execute ",BUG
129,HTTPCLIENT-1659, Redirect does not send cookies ,BUG
130,HTTPCLIENT-1660,Http client 4.3.6 - loooong timeout on socket close,BUG
132,HTTPCLIENT-1662, NTLM auth failed because NTLMEngineImpl strip domain to base domain name ,BUG
135,HTTPCLIENT-1665, Regression in org.apache.http.entity.mime.MultipartEntity and   org.apache.http.entity.mime.content.StringBody ,BUG
136,HTTPCLIENT-1666, HTTPClient hangs on bad data from server. ,BUG
137,HTTPCLIENT-1667, RequestBuilder ignores Charset  ,BUG
138,HTTPCLIENT-1668, connectTimeout used as socketTimeout in Request ,BUG
143,HTTPCLIENT-1673, org.apache.http.entity.mime.content is missing from exports of OSGi bundle ,BUG
144,HTTPCLIENT-1674, Invalid project url in pom.xml ,BUG
150,HTTPCLIENT-1680,307 redirect throws ClientProtocolException using POST method,BUG
152,HTTPCLIENT-1682, HttpClient should allow NO port ,BUG
156,HTTPCLIENT-1686," Threadsafe CloseableHttpClient uses non-threadsafe NTLMScheme, causing errors ",BUG
157,HTTPCLIENT-1687, ClientPreemptiveDigestAuthentication example fails ,BUG
158,HTTPCLIENT-1688, ProxySelectorRoutePlanner doesn't handle IllegalStateException thrown by SchemeRegistry.getScheme ,BUG
160,HTTPCLIENT-1690,ZipException occurs when content-encoding-header is set for 304-response,BUG
167,HTTPCLIENT-1697, Performance issue while closing client streams ,BUG
168,HTTPCLIENT-1698,Hostname verification fails when using URL with literal IPv6 address,BUG
172,HTTPCLIENT-1702,Running mvn eclipse:eclipse fails with Maven 3.2.3 due to an issue with httpmime,BUG
176,HTTPCLIENT-1706," Domain starting with ""."" in a cookie makes CookieSpec#match fails for subdomain ",BUG
178,HTTPCLIENT-1708,Issues With Extended ASCII ( Latin Chars ) Escaping with HttpClient 4.5.1,BUG
180,HTTPCLIENT-1710, OSGiRoutePlanner examines only the first proxy exception and also crashes processing IP address exception ,BUG
181,HTTPCLIENT-1711, defaulthttpresponseparser parseHead fails to return on live stream ,BUG
185,HTTPCLIENT-1715,NTLMEngineImpl.Type1Message not thread safe but declared as a constant,BUG
189,HTTPCLIENT-1719, OSGiProcyConfiguration proxy user field is known as 'proxy.user' to the metadata but the class uses the 'proxy.username' ,BUG
191,HTTPCLIENT-1721," file upload with MultipartEntityBuilder ""Software caused connection abort: socket write error"" ",BUG
192,HTTPCLIENT-1722," file upload with MultipartEntityBuilder ""Software caused connection abort: socket write error"" ",BUG
193,HTTPCLIENT-1723,"HttpClient 4.5.1 may perform multiple requests on the same connection despite having ""Connection: close"" header.",BUG
196,HTTPCLIENT-1726, The deprecated SSLSocketFactory does not contain the SNI fix found in the SSLConnectionSocketFactory class ,BUG
201,HTTPCLIENT-1731, java.lang.NullPointerException ,BUG
203,HTTPCLIENT-1733, http component redirect fails when redirection URL contains not url encoded params ,BUG
209,HTTPCLIENT-1739, repeated calls to HttpClients.custom.build take longer over time ,BUG
211,HTTPCLIENT-1741, X-CSRF-Validation issues ,BUG
212,HTTPCLIENT-1742, No connection reuse if response is compressed ,BUG
214,HTTPCLIENT-1744, code treats domain names or hostnames case sensitive. This will cause verification to fail because FQDN are case insensitive. ,BUG
215,HTTPCLIENT-1745, Proxy-Authorization header is not send within first request ,BUG
216,HTTPCLIENT-1746,"URLEncodedUtils.parse(String, CharSet) in 4.4 causes an NPE on null input and is not backward compatible",BUG
217,HTTPCLIENT-1747,"The ""default request config"" socket timeout is set to 0 if the deprecated HttpClientParams is used",BUG
218,HTTPCLIENT-1748," When run in java applet, SystemDefaultCredentialsProvider fails to get authentication from Authenticator ",BUG
219,HTTPCLIENT-1749, Memory Leak in OSGi support ,BUG
223,HTTPCLIENT-1753," Exception in thread ""main"" java.lang.NoSuchFieldError: INSTANCE ",BUG
228,HTTPCLIENT-1758, HttpClients.createDefault() causing exception on my linux server ,BUG
231,HTTPCLIENT-1761, Missing null check in parse method ,BUG
232,HTTPCLIENT-1762,Proxy reuses a fully established routed authenticated connection in attempt to CONNECT to target again causing 400 and NPE,BUG
233,HTTPCLIENT-1763, Invalid 'expires' attribute ,BUG
236,HTTPCLIENT-1766, SystemDefaultRoutePlanner: Possible null pointer dereference ,BUG
237,HTTPCLIENT-1767, Null pointer dereference in EofSensorInputStream and ResponseEntityProxy ,BUG
238,HTTPCLIENT-1768,Connection eviction policy in apache client 3.1. can IdleConnectionTimeoutThread be used?,BUG
239,HTTPCLIENT-1769, LaxRedirectStrategy should have its own public static final INSTANCE member ,BUG
255,HTTPCLIENT-1785," If you use custom trust manager/ protocol the ""connection.timeout"" param will throw SSLHandshakeException ",BUG
261,HTTPCLIENT-1791, Proxy exceptions not honoured in HttpClient-osgi module ,BUG
266,HTTPCLIENT-1796, java.lang.IllegalArgumentException thrown on a second # in url ,BUG
271,HTTPCLIENT-1801, HttpRequestBase.releaseConnection() method aborts connection rather than release it ,BUG
272,HTTPCLIENT-1802, RFC violations in hostname checking ,BUG
273,HTTPCLIENT-1803, Malformed path not handled well ,BUG
275,HTTPCLIENT-1805, Blocking thread when executing a request in a FutureCallback ,BUG
277,HTTPCLIENT-1807," NullPointerException in URLEncodedUtils.parse(String, Charset) ",BUG
278,HTTPCLIENT-1808, Overflow in Connection TTL ,BUG
284,HTTPCLIENT-1814, NoHttpResponseException occuring randomly ,BUG
285,HTTPCLIENT-1815, CLONE - Request 'hangs' on invalid response from server ,BUG
298,HTTPCLIENT-1828," HttpDelete, HttpGet, HttpHead do not extend HttpEntityEnclosingRequestBase ",BUG
299,HTTPCLIENT-1829, Apparently normal SSL site generates a handshake failure ,BUG
301,HTTPCLIENT-1831, Possible bug in URIBuilder ,BUG
303,HTTPCLIENT-1833, RuntimeException from WindowsNegotiateScheme: Unexpected token ,BUG
306,HTTPCLIENT-1836,DefaultHostnameVerifier#getSubjectAltNames(X509Certificate) throws java.lang.ClassCastException,BUG
314,HTTPCLIENT-1844, CloseableHttpClient error : org.apache.http.NoHttpResponseException failed to respond ,BUG
315,HTTPCLIENT-1845, Extract InputStreamFactory classes out of GzipDecompressingEntity and DeflateDecompressingEntity for reuse and to create less garbage ,BUG
321,HTTPCLIENT-1851, Regression ClassCastException when connecting SSL ,BUG
324,HTTPCLIENT-1854, Cannot peek contents of org.apache.http.conn.EofSensorInputStream ,BUG
325,HTTPCLIENT-1855, Digest auth: Nonce counter not incremented after reuse ,BUG
326,HTTPCLIENT-1856," incorrect ""Maximum line length limit exceeded"" detection is possible ",BUG
327,HTTPCLIENT-1857, HttpClient falsely closes a reusable connection ,BUG
329,HTTPCLIENT-1859, FormBodyPartBuilder.java does not properly escape the name and filename subfields in the ContentDisposition header ,BUG
332,HTTPCLIENT-1862,Equinox SAXException when starting OSGi module httpclient-osgi-4.5.3.jar,BUG
339,HTTPCLIENT-1869, java.io.EOFException: Unexpected end of ZLIB input stream ,BUG
344,HTTPCLIENT-1874, Exponential back-off retry mechanism ,BUG
347,HTTPCLIENT-1877, java.io.EOFException: Unexpected end of ZLIB input stream ,BUG
349,HTTPCLIENT-1879, connection should revert to SocketConfig's soTimeout ,BUG
352,HTTPCLIENT-1882,NTLM authentication error: Unexpected state: MSG_TYPE3_GENERATED,BUG
354,HTTPCLIENT-1884, javax.net.ssl.SSLPeerUnverifiedException: Host name 'www.googleapis.com' does not match the certificate subject provided by the peer ,BUG
355,HTTPCLIENT-1885,400 Bad Request Server: Microsoft-HTTPAPI/2.0,BUG
357,HTTPCLIENT-1887, tcp status remains in ·CLOSE_WAIT· for a very long time ,BUG
358,HTTPCLIENT-1888, NullPointerException in SystemDefaultCredentialsProvider.getCredentials when AuthScope.orgin is null ,BUG
362,HTTPCLIENT-1892, Request hangs forever although sockettimeout and connecttimeout are set ,BUG
366,HTTPCLIENT-1896, GGSSchemeBase does not support GSS continuation ,BUG
367,HTTPCLIENT-1897,httpclient-osgi-4.5.3 and 4.5.4 do not work with proxy with NTLM scheme,BUG
368,HTTPCLIENT-1898, Incorrect comment in example class ClientMultiThreadedExecution.java ,BUG
369,HTTPCLIENT-1899, Memory leak in OSGi support ,BUG
